"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033238","GO:0033238","regulation of cellular amine metabolic process","38/3671","81/18670",2.70365462565796e-08,2.05220260633276e-06,1.57577664961594e-06,"SLC7A11/NQO1/PSMD1/PSMC3/PSMB2/PSMD14/PSMC2/PSMD2/PSMA3/PSMC1/PSMD3/PSME3/PSMC4/ITGAM/PSMD8/PSMA1/PSMB6/PSMA6/PSMA2/SIRT4/PSMB5/PSMD7/AZIN1/PSMB8/HPRT1/PARK7/PSMB1/PSMC5/SLC7A7/PSMA7/PSMF1/ITGB2/PSMB7/PSMD11/VPS35/PSMB4/PSMA4/PSMA5",38
"GO:1902036","GO:1902036","regulation of hematopoietic stem cell differentiation","35/3671","72/18670",3.05761107656566e-08,2.29356802637443e-06,1.76110824979652e-06,"ABL1/PSMD1/PSMC3/PSMB2/PSMD14/PSMC2/PSMD2/TP73/PSMA3/PSMC1/PSMD3/PSME3/PSMC4/PSMD8/PSMA1/PSMB6/PSMA6/HSPA9/PSMA2/MYB/PSMB5/PSMD7/PSMB8/PSMB1/PSMC5/PSMA7/PSMF1/YAP1/TCF3/PSMB7/PSMD11/GATA3/PSMB4/PSMA4/PSMA5",35
"GO:0002244","GO:0002244","hematopoietic progenitor cell differentiation","63/3671","166/18670",3.25338408151824e-08,2.41204382601864e-06,1.85207948141265e-06,"PTPN6/PLEK/ABL1/ZBTB1/PSMD1/PSMC3/ARL11/TOP2A/PSMB2/PSMD14/PSMC2/ESCO2/PSMD2/TP73/XRCC5/PTPRC/PSMA3/INHBA/PSEN1/PSMC1/PSMD3/PSME3/PSMC4/HYAL2/PSMD8/ANLN/PSMA1/PSMB6/KCNAB2/WDR7/PSMA6/HSPA9/PSMA2/MYB/PSMB5/BATF/PSMD7/SIPA1L3/DHX36/SLC8A3/RBM47/PSMB8/MIXL1/SIN3A/ARMC6/CIAO3/TMEM91/PSMB1/PSMC5/SPI1/PSMA7/PSMF1/LIG4/YAP1/TCF3/PSMB7/PSMD11/GATA3/SMPD3/PSMB4/PSMA4/TNFRSF13B/PSMA5",63
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","44/3671","101/18670",3.61350290848023e-08,2.63091725086697e-06,2.02014068113687e-06,"JAK3/FUT7/ANXA1/ABL1/SLAMF6/BCL11B/SASH3/RHOA/GPR18/TCF7/IL12RB1/IL23A/SPN/ZAP70/TNFSF4/AP3B1/EOMES/MYB/STAT3/IL4R/BATF/NCKAP1L/MALT1/LEF1/IRF4/LGALS9/SH3RF1/HLX/FOXP3/RUNX3/CCL19/TBX21/ITK/CD83/GATA3/ADA/RORA/IL18/CD80/PLA2G2D/RARA/TNFSF8/ZBTB7B/IFNG",44
"GO:0007051","GO:0007051","spindle organization","64/3671","170/18670",3.63112794975366e-08,2.63091725086697e-06,2.02014068113687e-06,"FSD1/PLK1/AURKB/MYBL2/NUF2/RAB11A/ASPM/SBDS/TTK/NEK2/SPC25/CLTC/STIL/HAUS5/MAPRE1/TACC3/RHOA/DCTN2/KIFC1/VCP/CHEK2/BIRC5/EZR/NDC80/KIF4A/CENPE/GOLGA2/PPP2R1A/HAUS3/ESPL1/RGS14/HAUS6/BORA/CHMP1B/CHMP2A/CHMP4B/RACGAP1/KIF11/KNSTRN/TPX2/PSRC1/GNAI1/TACC2/DRG1/WASHC5/TUBB/NEK6/CHMP2B/CCSAP/RAN/DYNC1H1/FLNA/AURKA/MAP4/CEP97/HNRNPU/WDR62/INO80/DCTN1/MECP2/CCDC69/FBXO5/CCNB1/MZT1",64
"GO:0043900","GO:0043900","regulation of multi-organism process","125/3671","405/18670",3.92309168113078e-08,2.81052051223482e-06,2.15804842210991e-06,"ANXA2/AIM2/RESF1/CARD8/LILRB1/NECTIN2/RAB7A/TRIM59/FCER2/RNASEL/HDAC2/UFD1/B4GALT1/BIRC3/PSMC3/TRIM25/TOP2A/VIP/KLK7/APOBEC3D/APOBEC3G/IL12RB1/TFAP4/HACD3/CALR/TRAF3IP1/INHBA/STAU1/IL23A/PUM1/AICDA/SIGIRR/ZMPSTE24/TSPAN32/FUCA2/PPP2R1A/TNF/TRIM14/RNF125/P2RX7/CD180/APOBEC3F/CHMP2A/CGAS/TRIB1/DDB1/CHMP4B/PPIB/ITGAV/SHFL/CD55/GAPDH/LY86/FAM111A/TSG101/TRIM8/F2RL1/DHX9/KPNA6/POLR2A/MICB/DHX58/EDNRB/APOBEC3H/NPPC/VAPA/SIN3A/NUCKS1/MPHOSPH8/FCN3/CAV2/LY96/LEF1/PPIA/CARD16/TRAF3/LARP1/IGF2R/LGALS9/FCN1/PYCARD/PPP2R3C/PRDX2/CCDC87/LILRA2/CHMP2B/SELENOK/POLR2C/PRF1/TOP2B/AURKA/DTX3L/IGF1/TRIM11/GSN/IL1B/LAMP3/P4HB/ZC3HAV1/BIRC2/SASH1/ADA/PPID/ARHGDIB/ERCC6/AGO2/CXCR4/CAV1/NR5A2/PDE5A/SNW1/ARG2/OVGP1/CD28/TNFAIP3/UNC13B/ILRUN/IFNG/PARP9/SPINK13/ADARB1/CHMP3/STOM/FAM3A/RAD23A",125
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","138/3671","459/18670",4.68421011111019e-08,3.31850262982651e-06,2.5481007282776e-06,"HIF1A/GCGR/ME1/SLC7A11/ANXA1/NQO1/CYP51A1/CBFA2T3/PLEK/PSMD1/PSMC3/CLTC/PSMB2/PSMD14/RUBCNL/POR/PSMC2/PTK2B/RHOA/PPP1R3E/PSMD2/SLC2A6/NUP210/PGK1/VCP/PSMA3/EIF6/PSEN1/PSMC1/PSMD3/OGT/FOXA2/ZMPSTE24/PGAM1/PSME3/PSMC4/LDLR/TNF/PSMD8/APP/PPP1R3B/PSMA1/P2RX7/PSMB6/HTR2A/DYRK2/ENO1/HMGCS1/PSMA6/EGF/IRS1/GFI1/CRY1/PSMA2/JMJD8/NUP42/CD244/DDB1/SIRT4/STAT3/PSMB5/LMF1/CYP27B1/PSMD7/SLC25A33/SC5D/AZIN1/NR1H3/DHCR7/NUP153/PPARGC1A/PSMB8/NUP98/CDK1/PDK1/GUCA1B/GSK3B/SEC14L2/PARK7/AKR1C3/MBTPS2/IL4/PSMB1/POMC/PSMC5/SLC7A7/PSMA7/AVPR1A/LDLRAP1/ELOVL5/ARPP19/NR1H2/NCOR2/NUP88/PGP/PSMF1/DGKQ/SEC13/CLCN2/RAN/ADIPOQ/PRKAG1/MST1/IGF1/IL1B/SOD1/NOS1/NUP214/PSMB7/FASN/PSMD11/FOXO1/NFE2L1/GSTZ1/ADIPOR2/SMPD3/RORA/GPAM/CAV1/FAM3C/RDH10/INSIG1/DNM1L/PRXL2C/PSMB4/PINK1/FOXK2/LPGAT1/PSMA4/IFNG/CCNB1/PSMA5/PPP1R3D/TAZ/SORBS1/FAM3A/ADM/MVK",138
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","41/3671","92/18670",4.80446956686724e-08,3.36629647893907e-06,2.58479906946206e-06,"JAK3/FUT7/ANXA1/SLAMF6/SASH3/IL12RB1/IL23A/SPN/TCIRG1/CDH26/TNFSF4/IL12A/MYB/STAT3/IL4R/BATF/CD55/NCKAP1L/MALT1/CD274/LEF1/IRF4/LGALS9/SH3RF1/HLX/FOXP3/RUNX3/CCL19/TBX21/CD83/GATA3/RORA/IL18/TWSG1/CD80/ARG2/PLA2G2D/RARA/ZBTB7B/IFNG/STOML2",41
"GO:0002228","GO:0002228","natural killer cell mediated immunity","32/3671","64/18670",5.0710162364231e-08,3.51443473080801e-06,2.69854651208282e-06,"LILRB1/PTPN6/NECTIN2/CORO1A/PRDX1/SLAMF6/KLRK1/SH2D1B/UNC13D/ARRB2/PVR/VAV1/TUBB4B/IL12A/CD96/HLA-F/KLRD1/NCR3/CRK/MICB/LAMP1/RASGRP1/CADM1/SERPINB9/LGALS9/VAMP7/NCR1/TUBB/LYST/CRTAM/IL18/SLAMF7",32
"GO:0045582","GO:0045582","positive regulation of T cell differentiation","38/3671","83/18670",6.11629332871772e-08,4.19327809289293e-06,3.21979403190335e-06,"TESPA1/ANXA1/ZBTB1/VNN1/SASH3/ZMIZ1/RHOA/IL12RB1/PTPRC/IL7/IL23A/ZAP70/BTN2A2/TNFSF4/AP3B1/IL12A/ADAM8/MYB/IL4R/NCKAP1L/MALT1/IL4/RASGRP1/LGALS9/CD27/HLX/FOXP3/RUNX3/CCL19/CD83/GATA3/ADA/IL18/IL7R/CD80/RARA/ZBTB7B/IFNG",38
"GO:0038061","GO:0038061","NIK/NF-kappaB signaling","67/3671","183/18670",6.21724402289224e-08,4.21714339254904e-06,3.23811891942574e-06,"ACTN4/NLRC3/TLR6/PRDX1/PSMD1/BIRC3/PSMC3/PSMB2/TRIP6/PSMD14/RTKN2/PSMC2/RHOA/PSMD2/CALR/PSMA3/IL23A/PSMC1/PSMD3/PSME3/TNFSF14/PSMC4/TNF/PSMD8/APP/PSMA1/PSMB6/ZFP91/PSMA6/PSMA2/EDAR/PSMB5/PSMD7/NOD2/MALT1/PSMB8/TNFRSF10A/TLR9/SKP1/NFKB2/PSMB1/PSMC5/ILK/PSMA7/LGALS9/CD27/CCN3/TRADD/PSMF1/TLR7/LIME1/CCL19/CHUK/PTPN22/IL1B/BIRC2/PSMB7/SASH1/PSMD11/TLR2/IL18/NFAT5/PSMB4/RBCK1/NR3C2/PSMA4/PSMA5",67
"GO:0002220","GO:0002220","innate immune response activating cell surface receptor signaling pathway","48/3671","116/18670",6.33059459070537e-08,4.24882853793026e-06,3.26244824835132e-06,"PRKACA/CARD11/PSMD1/PSMC3/PSMB2/PSMD14/PSMC2/PLCG2/ICAM3/KLRK1/PSMD2/PSMA3/PSMC1/PSMD3/PSME3/PSMC4/PSMD8/PSMA1/PSMB6/PSMA6/PSMA2/IKBKB/PSMB5/PSMD7/MALT1/PSMB8/RAF1/PRKCD/SKP1/PSMB1/PSMC5/PSMA7/FCN1/LILRA2/PSMF1/CARD9/CHUK/KRAS/MUC17/PSMB7/PSMD11/FFAR2/MUC19/CLEC10A/PSMB4/PSMA4/CREBBP/PSMA5",48
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","44/3671","103/18670",7.29282189653208e-08,4.84364920961339e-06,3.71917923692661e-06,"CTNNA1/CD63/ITGAD/PLEK/ABL1/LAT/ITGAE/PTK2B/ITGB1/ITGAX/SEMA7A/FERMT2/PTPN11/TSPAN32/ITGAL/VAV1/ADAM9/ITGAM/CDC42/ITGB3/ITGB8/ITGA4/ITGAV/FERMT3/BCAR1/ITGB7/TLN1/ITGA11/CCM2/ILK/CUL3/LAMA3/DMTN/FYB1/FLNA/FGR/ITGB2/ITGA3/HCK/PTK2/DOCK1/COL3A1/NEDD9/RCC2",44
"GO:0010256","GO:0010256","endomembrane system organization","132/3671","438/18670",7.84751354375736e-08,5.15832436649453e-06,3.96080146413624e-06,"PLK1/CSNK1A1/CNEP1R1/TGFB2/NECTIN2/PRKCB/RAB7A/CCNB2/RAB11A/TMEM170A/COG1/BIN2/RAB10/FASLG/CCDC47/UGCG/SQSTM1/MAPK1/FCHO1/ANO9/LMNA/SNX10/TMCC1/GBF1/PTPRC/ATP2A2/PTPRN/SEC31A/ZMPSTE24/MFSD14A/SHTN1/TMEM43/GOLGA2/PPP2R1A/GORASP2/ZPBP2/CDC42/RAB2A/BCAS3/P2RX7/F2RL3/SURF4/CHMP1B/CHMP2A/TMED7/MYOF/CAMSAP2/CHMP4B/XKR8/RAB1A/GOLGA5/VPS18/KNL1/PACSIN1/MICALL1/ARFGEF2/TSG101/AGFG1/EHD3/CHMP7/LAPTM4B/SEC31B/TMED10/OBSL1/ZFYVE27/CDK1/PRKCD/EIF2AK3/SH3GLB1/ARHGAP21/RAB5B/STX16/PAFAH1B1/CAV2/TMEM127/PPP2R2A/WASL/TMED2/YWHAZ/TMEM38B/ATP8B4/CASQ1/SEC16A/BAIAP2/HIKESHI/LYST/HOOK1/PSAP/NEK6/ARL6IP1/PRMT5/ATL3/CHMP2B/REEP3/PPP2CA/GET3/ABCA7/PACSIN2/AQP11/STX5/EHD2/CLCN3/SPTSSB/GSN/ARL1/BAIAP3/SOD1/MYH10/RAB18/CAVIN2/SYNGR1/DCTN1/CXCR4/CAV1/SCARB2/GOLGA8M/TOR1A/GOLGA8S/PDCD10/UBL4A/CREB1/TMED9/SEC23IP/BNIP1/TBPL1/RAB3GAP1/RTN4/USO1/NOX1/CCNB1/CLU/CHMP3",132
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","31/3671","62/18670",8.18125156868324e-08,5.32282244917595e-06,4.08711074607366e-06,"ANXA1/RASAL3/SASH3/RHOA/IL12RB1/PTPRC/IL23A/ZAP70/TNFSF4/AP3B1/IL12A/MYB/IL4R/CD55/NCKAP1L/MALT1/CD3E/LGALS9/HLX/FOXP3/RUNX3/CCL19/CD83/ADA/IL18/IL6R/CD80/CD28/RARA/ZBTB7B/IFNG",31
"GO:0051783","GO:0051783","regulation of nuclear division","68/3671","188/18670",8.56758651928697e-08,5.5178718835327e-06,4.23687877737413e-06,"ATM/PLK1/AURKB/MKI67/UBE2C/BUB1/NUSAP1/CENPF/TTK/NEK2/KNTC1/PRKAR1A/DLGAP5/BUB1B/CDCA5/TACC3/BUB3/CALR/ANAPC4/NDC80/PKMYT1/CENPE/GPR3/ANLN/CDT1/ESPL1/CCDC8/EGF/BORA/MSX2/CHMP1B/IK/CHMP2A/CHMP4B/MAD2L1/KIF11/CDC25C/OBSL1/DYNC1LI1/MACROH2A1/CHEK1/CAV2/DRG1/SLF1/PCID2/CUL3/MTBP/SLF2/NEK6/PRMT5/CHMP2B/CDC6/LRP5/CCSAP/AURKA/IGF1/CEP97/IL1B/HNRNPU/NFE2L1/SMPD3/BECN1/TOM1L2/PPP1R9B/CD28/FBXO5/CCNB1/FBXO43",68
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","106/3671","334/18670",8.88148625399335e-08,5.66283563554616e-06,4.34818869129717e-06,"JAK3/TESPA1/LILRB1/PTPN6/CORO1A/ANXA1/ATAD5/ZBTB1/CARD11/DOCK8/BTLA/BTK/RASAL3/CCDC88B/VNN1/CLECL1/GRAP2/SASH3/ZMIZ1/KLRK1/RHOA/FCRL3/LCK/PIK3R1/SIRPG/IL12RB1/INPP5D/TAC1/PTPRC/IL7/IL23A/CSK/PTPN11/TNFSF14/RAC1/VAV1/PDCD1/ZAP70/BTN2A2/SHLD3/TNFSF4/CDC42/AP3B1/TMIGD2/CD40LG/TNFSF11/IL12A/CD6/SIRPB1/CD40/ADAM8/HLA-F/MYB/CLCF1/IL4R/ICOS/TNFSF13B/CCR7/CD55/NOD2/NCKAP1L/MALT1/CTLA4/TLR9/LAMP1/CD3E/CD274/IL4/RASGRP1/PCID2/MPL/LGALS9/CD27/PYCARD/PPP2R3C/IGLL5/HLX/TNFRSF13C/FOXP3/TOX/TNFRSF14/ATP11C/SELENOK/FLT3LG/RUNX3/CCL19/TBX21/IGF1/IL1B/CD83/GATA3/YES1/ADA/IL18/CAV1/TFRC/HHLA2/IL6R/IL7R/CD80/CD28/RARA/CD70/ZBTB7B/IFNG/HLA-DMB",106
"GO:0006733","GO:0006733","oxidoreduction coenzyme metabolic process","73/3671","207/18670",9.55963266420393e-08,6.03487305613507e-06,4.6338563336334e-06,"HIF1A/KMO/ME1/CBFA2T3/HK1/OGDH/TALDO1/SLC2A6/NUP210/PGK1/VCP/EIF6/PSEN1/OGT/PGAM1/TP53I3/G6PD/ALDOA/NDUFA9/LDHA/APP/SHPK/COQ7/ADPGK/P2RX7/HTR2A/KCNAB2/ENO1/MDH2/KYNU/JMJD8/PGD/NUP42/STAT3/PKM/GPI/PGM1/GAPDH/NUP153/PPARGC1A/NUP98/PFKP/TKT/TPI1/QPRT/NUDT17/DLD/NUP88/GPD1L/FMO1/SEC13/NAXE/COQ8A/RNLS/PRKAG1/MDH1/IGF1/PDSS2/COQ10A/ENO3/PGM2L1/NUP214/HK2/NMNAT2/PGM2/PRXL2C/PARP16/OGDHL/FOXK2/NUDT12/IFNG/NOX1/PARP9",73
"GO:0006732","GO:0006732","coenzyme metabolic process","123/3671","403/18670",1.00350144458877e-07,6.27286785362549e-06,4.8165998129849e-06,"VNN2/HIF1A/KMO/ME1/CBFA2T3/ACOT9/VNN1/VNN3/HK1/ACSBG1/OGDH/TALDO1/ACLY/SLC2A6/NUP210/THEM4/PGK1/VCP/AHCYL1/EIF6/PSEN1/TDO2/OGT/PGAM1/TP53I3/G6PD/ALDOA/NDUFA9/LDHA/HSD17B4/APP/GCH1/SHPK/COQ7/ADPGK/P2RX7/HTR2A/KCNAB2/ENO1/HMGCS1/ACOT12/MDH2/KYNU/JMJD8/PGD/NUP42/GCLC/BHMT2/STAT3/PKM/ACAT1/GPI/PGM1/HMGCS2/NFS1/GAPDH/PCCB/ELOVL1/NUP153/PPARGC1A/SUCLA2/NUP98/PFKP/PEMT/ACOT11/TKT/CYB5R3/TPI1/DHFR/PDK1/SLC2A1/MAT2A/QPRT/NUDT17/TYMS/DLD/ELOVL5/MBIP/NUP88/CROT/LIAS/GPD1L/FMO1/SEC13/NAXE/COQ8A/RNLS/PRKAG1/PCCA/MDH1/IGF1/PDSS2/COQ10A/GSTO1/ENO3/MCEE/PGM2L1/NUP214/FASN/HK2/GSTZ1/ACSS1/NMNAT2/SLC23A1/PNPO/MCCC2/PGM2/SUCLG1/PRXL2C/DLAT/PPT1/PARP16/OGDHL/PTS/FOXK2/ACSL3/NUDT12/IFNG/NOX1/FPGS/PARP9/AHCYL2/MVK",123
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","68/3671","189/18670",1.0836768663294e-07,6.64377278818872e-06,5.10139787985632e-06,"HIF1A/KMO/ME1/CBFA2T3/HK1/OGDH/TALDO1/SLC2A6/NUP210/PGK1/VCP/EIF6/PSEN1/OGT/PGAM1/TP53I3/G6PD/ALDOA/LDHA/APP/SHPK/ADPGK/P2RX7/HTR2A/KCNAB2/ENO1/MDH2/KYNU/JMJD8/PGD/NUP42/STAT3/PKM/GPI/PGM1/GAPDH/NUP153/PPARGC1A/NUP98/PFKP/TKT/TPI1/QPRT/NUDT17/DLD/NUP88/GPD1L/FMO1/SEC13/NAXE/RNLS/PRKAG1/MDH1/IGF1/ENO3/PGM2L1/NUP214/HK2/NMNAT2/PGM2/PRXL2C/PARP16/OGDHL/FOXK2/NUDT12/IFNG/NOX1/PARP9",68
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","68/3671","189/18670",1.0836768663294e-07,6.64377278818872e-06,5.10139787985632e-06,"HIF1A/KMO/ME1/CBFA2T3/HK1/OGDH/TALDO1/SLC2A6/NUP210/PGK1/VCP/EIF6/PSEN1/OGT/PGAM1/TP53I3/G6PD/ALDOA/LDHA/APP/SHPK/ADPGK/P2RX7/HTR2A/KCNAB2/ENO1/MDH2/KYNU/JMJD8/PGD/NUP42/STAT3/PKM/GPI/PGM1/GAPDH/NUP153/PPARGC1A/NUP98/PFKP/TKT/TPI1/QPRT/NUDT17/DLD/NUP88/GPD1L/FMO1/SEC13/NAXE/RNLS/PRKAG1/MDH1/IGF1/ENO3/PGM2L1/NUP214/HK2/NMNAT2/PGM2/PRXL2C/PARP16/OGDHL/FOXK2/NUDT12/IFNG/NOX1/PARP9",68
"GO:0060071","GO:0060071","Wnt signaling pathway, planar cell polarity pathway","45/3671","108/18670",1.26745442927486e-07,7.6659603826608e-06,5.88628107702493e-06,"ABL1/PSMD1/PSMC3/CLTC/PSMB2/PSMD14/ZNRF3/PSMC2/RHOA/PSMD2/DVL3/PSMA3/PSMC1/PSMD3/ARRB2/PSME3/RAC1/GPC6/PSMC4/WNT9B/PSMD8/TIAM1/CDC42/PSMA1/PSMB6/AP2M1/PSMA6/PSMA2/PSMB5/PSMD7/PSMB8/AP2B1/PSMB1/PSMC5/PSMA7/SFRP2/PSMF1/MAGI2/PSMB7/PSMD11/PSMB4/PSMA4/GPC4/MED12/PSMA5",45
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","64/3671","175/18670",1.27445389046745e-07,7.6659603826608e-06,5.88628107702493e-06,"CNR2/ATM/RIPOR2/GNRH1/JAK3/LILRB1/PTPN6/ADORA2A/ANXA1/PRKAR1A/BTK/PAG1/BANK1/CD300A/INPP5D/PTPRC/INHBA/LAX1/SPN/TMEM131L/TSPAN32/SDC4/LDLR/BTN2A2/CASP3/TNFSF4/DUSP3/ERBB2/HLA-F/CD84/LST1/IL4R/HMGB3/PRNP/MILR1/NR1H3/CLEC4G/CTLA4/TIGIT/TNFAIP8L2/CD274/ZC3H8/THOC1/LGALS9/FCGR2B/PRDX2/MNDA/HLX/FOXP3/TNFRSF14/RUNX3/TBX21/PTPN22/CD300LF/BCR/TWSG1/PDE5A/CD80/ARG2/PLA2G2D/TNFAIP3/PGLYRP2/ZBTB7B/TNFRSF13B",64
"GO:1901532","GO:1901532","regulation of hematopoietic progenitor cell differentiation","38/3671","85/18670",1.32962386492386e-07,7.92306706799491e-06,6.08369955313418e-06,"ABL1/ZBTB1/PSMD1/PSMC3/PSMB2/PSMD14/PSMC2/PSMD2/TP73/PSMA3/PSMC1/PSMD3/PSME3/PSMC4/PSMD8/PSMA1/PSMB6/PSMA6/HSPA9/PSMA2/MYB/PSMB5/PSMD7/DHX36/PSMB8/MIXL1/PSMB1/PSMC5/PSMA7/PSMF1/YAP1/TCF3/PSMB7/PSMD11/GATA3/PSMB4/PSMA4/PSMA5",38
"GO:0034502","GO:0034502","protein localization to chromosome","37/3671","82/18670",1.44648659316091e-07,8.53962825740184e-06,6.55712392279865e-06,"PLK1/AURKB/EZH2/TTK/CCT5/RUVBL2/MCM8/CDCA5/ESCO2/CENPA/XRCC5/CCT2/BUB3/TERT/NDC80/CDT1/CCT7/IK/KNL1/CHMP7/HASPIN/CDK1/MACROH2A1/SLF1/CENPQ/BRCA2/MTBP/ACD/SLF2/TINF2/WRAP53/TNKS2/MIS12/CCT3/CCT6A/GNL3L/RCC2",37
"GO:0050867","GO:0050867","positive regulation of cell activation","120/3671","394/18670",1.62324674848962e-07,9.49524887006407e-06,7.29089389398864e-06,"JAK3/TESPA1/LILRB1/TLR6/PTPN6/NECTIN2/CORO1A/ANXA1/ATAD5/PLEK/ZBTB1/CARD11/DOCK8/BTLA/BTK/RASAL3/CCDC88B/VNN1/CLECL1/GRAP2/SASH3/CAPN3/STAP1/ZMIZ1/KLRK1/RHOA/FCRL3/LCK/PIK3R1/SIRPG/IL12RB1/INPP5D/TAC1/PTPRC/IL7/IL23A/CSK/PTPN11/TNFSF14/RAC1/VAV1/PDCD1/ZAP70/ITGAM/BTN2A2/SHLD3/TNFSF4/CDC42/AP3B1/TMIGD2/CD40LG/TNFSF11/IL12A/CD6/SIRPB1/CD40/ADAM8/HLA-F/MYB/CLCF1/IL4R/IL1RL1/CD2/ICOS/TNFSF13B/CCR7/CD55/NOD2/NCKAP1L/MALT1/F2RL1/CTLA4/TLR9/LAMP1/CD3E/CD274/IL4/RASGRP1/PCID2/MPL/LGALS9/CD27/PYCARD/VAMP7/PPP2R3C/IGLL5/HLX/TNFRSF13C/FOXP3/TOX/DMTN/TNFRSF14/ATP11C/LILRA2/SELENOK/FLT3LG/RUNX3/CCL19/FGR/TBX21/ITGB2/IGF1/IL1B/CD83/GATA3/YES1/ADA/IL18/CAV1/TFRC/HHLA2/IL6R/IL7R/CD80/CD28/RARA/CD70/ZBTB7B/IFNG/HLA-DMB",120
"GO:0042113","GO:0042113","B cell activation","99/3671","310/18670",1.67744995370707e-07,9.72310991348754e-06,7.4658562054465e-06,"ATM/JAK3/LAT2/POU2F2/PTPN6/PRKCB/PIK3CD/CD79B/ATAD5/ABL1/CD19/ZBTB1/CARD11/GAPT/BTK/MS4A1/PLCG2/SASH3/PTK2B/ITGB1/FCRL1/BANK1/FCRL3/CCR6/CD300A/PIK3R1/INPP5D/CD22/PTPRC/IL7/C17orf99/INHBA/DOCK10/LAX1/AICDA/CASP8/LYL1/TCIRG1/ZAP70/IL27RA/SHLD3/CASP3/TNFSF4/CD40LG/CD180/DCLRE1C/CD40/ITGA4/CLCF1/MIR17HG/HMGB3/BATF/TNFSF13B/CXCR5/NOD2/NCKAP1L/CR2/MALT1/DCAF1/CTLA4/TLR9/PRKCD/IKZF3/EXO1/HDAC9/LEF1/ADAM17/IL4/PCID2/CD79A/THOC1/NFAM1/CD27/PPP2R3C/IGLL5/FCGR2B/MNDA/TNFRSF13C/FOXP3/ATP11C/APLF/SLAMF8/MZB1/TBX21/LIG4/TCF3/BLNK/ADA/SUPT6H/TFRC/MFNG/IL7R/PTPRJ/CD28/TNFAIP3/CD70/IFNE/TNFRSF13B/LRRC8A",99
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","69/3671","195/18670",1.83190262585482e-07,1.05227127409463e-05,8.07982846168874e-06,"HIF1A/KMO/ME1/CBFA2T3/HK1/OGDH/TALDO1/SLC2A6/NUP210/PGK1/VCP/EIF6/PSEN1/OGT/PGAM1/TP53I3/G6PD/ALDOA/LDHA/APP/SHPK/ADPGK/P2RX7/HTR2A/KCNAB2/ENO1/MDH2/KYNU/JMJD8/PGD/NUP42/STAT3/PKM/GPI/PGM1/GAPDH/NUP153/PPARGC1A/NUP98/PFKP/TKT/TPI1/QPRT/NUDT17/DLD/NUP88/GPD1L/FMO1/SEC13/NAXE/RNLS/PRKAG1/MDH1/IGF1/ENO3/PGM2L1/NUP214/HK2/NMNAT2/PNPO/PGM2/PRXL2C/PARP16/OGDHL/FOXK2/NUDT12/IFNG/NOX1/PARP9",69
"GO:0043372","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","19/3671","30/18670",2.08977937480483e-07,1.18968154408532e-05,9.13492845133202e-06,"ANXA1/SASH3/IL12RB1/IL23A/TNFSF4/MYB/IL4R/NCKAP1L/MALT1/LGALS9/HLX/FOXP3/CCL19/CD83/IL18/CD80/RARA/ZBTB7B/IFNG",19
"GO:0060218","GO:0060218","hematopoietic stem cell differentiation","37/3671","83/18670",2.11800221556739e-07,1.19507806428829e-05,9.17636544443778e-06,"ABL1/PSMD1/PSMC3/PSMB2/PSMD14/PSMC2/PSMD2/TP73/XRCC5/PSMA3/PSMC1/PSMD3/PSME3/PSMC4/PSMD8/PSMA1/PSMB6/PSMA6/HSPA9/PSMA2/MYB/PSMB5/BATF/PSMD7/PSMB8/PSMB1/PSMC5/PSMA7/PSMF1/YAP1/TCF3/PSMB7/PSMD11/GATA3/PSMB4/PSMA4/PSMA5",37
"GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","54/3671","141/18670",2.15142974160663e-07,1.20329088004244e-05,9.23942726520077e-06,"MSN/RAB10/ABL1/PSMD1/PSMC3/CLTC/PSMB2/PSMD14/ZNRF3/PSMC2/RHOA/PSMD2/TP63/DVL3/PSMA3/WDR1/TRAF3IP1/PSMC1/PSMD3/ARRB2/PSME3/RAC1/GPC6/PSMC4/WNT9B/PSMD8/TIAM1/CDC42/PSMA1/PSMB6/AP2M1/PSMA6/PSMA2/DLG3/SH3BP1/PSMB5/PSMD7/PSMB8/AP2B1/PAFAH1B1/PSMB1/PSMC5/PSMA7/SFRP2/LAMA3/PSMF1/MAGI2/PSMB7/PSMD11/PSMB4/PSMA4/GPC4/MED12/PSMA5",54
